year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2009-01	92422	319166	3.453355261734219	182	4890285	52.91256410811279	1675	15.322073779788575
2009-02	88978	317835	3.5720627570860213	164	4863436	54.65885949335791	1723	15.301763493636635
2009-03	94762	338395	3.570998923619172	129	5240725	55.304077583841625	1796	15.487004831631673
2009-04	90816	317878	3.5002422480620154	130	4904508	54.004889006342495	1677	15.428900395749313
2009-05	90451	328461	3.631369470763176	120	5122350	56.63121469082708	1840	15.595002146373542
2009-06	101384	353592	3.487650911386412	126	5478069	54.03287500986349	1756	15.492627095635648
2009-07	114595	425329	3.7115842750556305	151	6694396	58.41787163488809	1795	15.739335902325024
2009-08	131965	496721	3.764035918614784	155	7800707	59.111938771644	1848	15.704403478008782
2009-09	150866	527868	3.4989195710100356	126	8169666	54.151803587289386	1780	15.476721453090546
2009-10	132969	465788	3.5029818980363845	125	7202603	54.16753529018042	1931	15.463264403548395
2009-11	138029	486102	3.5217381854537813	121	7568004	54.82908664121308	1714	15.568757174420183
2009-12	145930	519134	3.5574179401082713	117	8098927	55.49871171109436	1812	15.600841015999723
