year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2008-01	131443	385297	2.931285804493202	157	5462302	41.556431304824144	1771	14.176860966994292
2008-02	100756	285100	2.829608162293064	108	3981156	39.512842907618406	1683	13.964068747807787
2008-03	80045	227195	2.838340933225061	89	3217658	40.19811356112187	1749	14.162538788265588
2008-04	62560	180098	2.8788043478260867	93	2553161	40.81139705882353	1783	14.176509455962865
2008-05	71625	202858	2.832223385689354	82	2880656	40.21858289703316	1533	14.200356899900424
2008-06	75461	223527	2.9621526351360306	104	3217290	42.63513603053233	1491	14.393294769759358
2008-07	74093	231301	3.121765888815408	119	3362599	45.38349101804489	1759	14.537762482652475
2008-08	79808	239164	2.9967421812349637	128	3440438	43.10893644747394	1735	14.385267013430115
2008-09	128639	369574	2.8729545472212936	111	5255602	40.85543264484332	1698	14.220702755063938
2008-10	158382	440644	2.782159588842166	125	6217662	39.25737773231807	1798	14.110397509100316
2008-11	121824	360940	2.962798791699501	111	5243744	43.04360388757552	1882	14.5280212777747
2008-12	83083	266671	3.209693920537294	107	3970362	47.78789884813981	1717	14.88861555999715
