year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2017-01	4364588	13218099	3.028487224911034	172	191337980	43.83872658771	1953	14.475453694211248
2017-02	4038670	12510156	3.0975930194841372	158	181440267	44.925747090007356	2137	14.503437607013055
2017-03	3743221	11476312	3.0658921821607645	187	167395573	44.71966068794762	1962	14.586181780348948
2017-04	3250054	9930425	3.055464616895596	155	146449506	45.060637761711035	1905	14.747556725920592
2017-05	4135179	12066114	2.9179181844365143	273	175477207	42.435214291811796	1964	14.542976056748676
2017-06	3863988	11296021	2.9234099588300997	170	166887801	43.19055882161125	1948	14.774034237365528
2017-07	3542709	10725728	3.0275498213372876	171	159318613	44.970843780846806	1866	14.853874068035289
2017-08	3692890	11299430	3.059779738903677	167	167414374	45.33424337036846	1915	14.816178692199518
2017-09	3178994	9789818	3.0795333366467506	178	146556812	46.10163215155486	1896	14.970330602673103
2017-10	3444050	10296407	2.98962181153003	274	152242047	44.204366080631814	1893	14.78593911448916
2017-11	3393256	10148465	2.990774937110551	241	150329993	44.30257929257327	1915	14.813076953017033
2017-12	3471538	10331867	2.9761641670060937	318	152970971	44.06432278719115	1853	14.805743337578775
