year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2010-01	165215	583946	3.5344611566746362	128	9087835	55.00611324637593	1844	15.562800327427537
2010-02	149846	536910	3.5830786273907878	112	8365868	55.8297718991498	1745	15.581509005233652
2010-03	204467	733244	3.586123922197714	204	11409151	55.79947375371087	1787	15.559828651853953
2010-04	190890	697022	3.6514327623238514	199	10906745	57.13628267588663	1920	15.64763379061206
2010-05	177349	635510	3.583386430146209	144	9936648	56.02877941234515	1785	15.635706755204481
2010-06	193479	683082	3.53052269238522	149	10529014	54.41941502695383	1795	15.413982508688562
2010-07	185829	683571	3.678494745168946	133	10720116	57.688068062573656	1797	15.682520177128637
2010-08	207511	747375	3.6016162998588026	256	11678109	56.27706001127651	1833	15.625501254390366
2010-09	244873	878923	3.5893013929669664	147	13677211	55.85430406782291	1843	15.561330173405407
2010-10	254675	917400	3.6022381466575046	129	14326422	56.2537430057917	1835	15.6163309352518
2010-11	291096	1014421	3.484833182180449	168	15737280	54.062165058949624	1738	15.513558966149162
2010-12	276674	1002495	3.6233798622205193	122	15791140	57.07489680996407	1834	15.751839161292574
