year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2016-01	1792687	5418011	3.0222849833796976	203	82011328	45.74771167526735	2222	15.136796141609901
2016-02	3097871	8665011	2.7970858050577316	184	125770343	40.59896070559426	2117	14.514735526590792
2016-03	4285024	11355895	2.6501356818538238	371	160363067	37.42407673795993	2350	14.121570074397482
2016-04	3576192	9721225	2.718317416961953	588	141400242	39.53933178084398	2736	14.545516845870763
2016-05	3291101	9052750	2.7506752299610375	248	130811803	39.74712505024914	4420	14.449952003534838
2016-06	3604471	9907563	2.748687116639307	299	143778131	39.888830011394184	3682	14.511957279504557
2016-07	4281313	11167160	2.6083493545087686	322	157812401	36.860748326506375	3277	14.131829489324053
2016-08	3409780	9415207	2.761235915513611	499	137182305	40.232010569596866	2903	14.570290913412737
2016-09	3913420	10658936	2.723688231776809	393	148603956	37.972912695289544	2902	13.941725140295429
2016-10	5108270	13075634	2.559699076203881	512	180720830	35.37808886374448	3333	13.8211906206613
2016-11	6241450	16471730	2.639087071113283	624	225959288	36.2030118001426	3333	13.718005819668
2016-12	4243131	11970118	2.8210578461989506	666	170941858	40.28672647627424	3301	14.280716196782688
