year-month	num_comments	num_sentences	avg_num_sentences	max_num_sentences	num_words	avg_num_words	max_num_words	avg_words_sentence
2010-01	184401	603352	3.2719562258339163	128	9157182	49.65906909398539	1844	15.177180153542212
2010-02	167415	554690	3.3132634471224205	112	8429167	50.34893528059015	1745	15.196176242585949
2010-03	228324	757440	3.3173910758395966	204	11494582	50.34329286452585	1787	15.17556770173215
2010-04	212720	719077	3.380392064685972	199	10986568	51.64802557352388	2499	15.27870867793018
2010-05	198225	656735	3.313078572329424	144	10012349	50.51002144028251	1785	15.245645503894265
2010-06	216076	705904	3.2669246006034913	149	10609508	49.10081637942206	1795	15.029675423287019
2010-07	206935	704920	3.4064802957450406	133	10795927	52.17061879334091	1797	15.315109515973443
2010-08	231468	771564	3.3333506143397793	256	11767248	50.83747213437711	1833	15.251162573681508
2010-09	272902	907222	3.3243508658785936	147	13776993	50.48329803372639	1843	15.185911496855235
2010-10	283499	946520	3.338706662104628	129	14429988	50.899608111492455	1942	15.245307019397371
2010-11	325311	1049019	3.224665012864613	168	15860763	48.755692245266836	1932	15.119614611365476
2010-12	307196	1034320	3.366970924100574	174	15908650	51.7866443573484	2839	15.380781576301338
